---------------------------------------------------------------------------------------------------------------
| Depth |    Nodes    |                                     FEN                                      | Status |
---------------------------------------------------------------------------------------------------------------
|     1 |          20 | rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1                     |  PASS  |
|     2 |         400 | rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1                     |  PASS  |
|     3 |        8902 | rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1                     |  PASS  |
|     4 |      197281 | rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1                     |  PASS  |
|     5 |     4865609 | rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1                     |  PASS  |
|     6 |   119060324 | rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1                     |  PASS  |
|     1 |          48 | r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1         |  PASS  |
|     2 |        2039 | r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1         |  PASS  |
|     3 |       97862 | r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1         |  PASS  |
|     4 |     4085603 | r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1         |  PASS  |
|     5 |   193690690 | r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1         |  PASS  |
|     1 |          15 | 4k3/8/8/8/8/8/8/4K2R w K - 0 1                                               |  PASS  |
|     2 |          66 | 4k3/8/8/8/8/8/8/4K2R w K - 0 1                                               |  PASS  |
|     3 |        1197 | 4k3/8/8/8/8/8/8/4K2R w K - 0 1                                               |  PASS  |
|     4 |        7059 | 4k3/8/8/8/8/8/8/4K2R w K - 0 1                                               |  PASS  |
|     5 |      133987 | 4k3/8/8/8/8/8/8/4K2R w K - 0 1                                               |  PASS  |
|     6 |      764643 | 4k3/8/8/8/8/8/8/4K2R w K - 0 1                                               |  PASS  |
|     1 |          16 | 4k3/8/8/8/8/8/8/R3K3 w Q - 0 1                                               |  PASS  |
|     2 |          71 | 4k3/8/8/8/8/8/8/R3K3 w Q - 0 1                                               |  PASS  |
|     3 |        1287 | 4k3/8/8/8/8/8/8/R3K3 w Q - 0 1                                               |  PASS  |
|     4 |        7626 | 4k3/8/8/8/8/8/8/R3K3 w Q - 0 1                                               |  PASS  |
|     5 |      145232 | 4k3/8/8/8/8/8/8/R3K3 w Q - 0 1                                               |  PASS  |
|     6 |      846648 | 4k3/8/8/8/8/8/8/R3K3 w Q - 0 1                                               |  PASS  |
|     1 |           5 | 4k2r/8/8/8/8/8/8/4K3 w k - 0 1                                               |  PASS  |
|     2 |          75 | 4k2r/8/8/8/8/8/8/4K3 w k - 0 1                                               |  PASS  |
|     3 |         459 | 4k2r/8/8/8/8/8/8/4K3 w k - 0 1                                               |  PASS  |
|     4 |        8290 | 4k2r/8/8/8/8/8/8/4K3 w k - 0 1                                               |  PASS  |
|     5 |       47635 | 4k2r/8/8/8/8/8/8/4K3 w k - 0 1                                               |  PASS  |
|     6 |      899442 | 4k2r/8/8/8/8/8/8/4K3 w k - 0 1                                               |  PASS  |
|     1 |           5 | r3k3/8/8/8/8/8/8/4K3 w q - 0 1                                               |  PASS  |
|     2 |          80 | r3k3/8/8/8/8/8/8/4K3 w q - 0 1                                               |  PASS  |
|     3 |         493 | r3k3/8/8/8/8/8/8/4K3 w q - 0 1                                               |  PASS  |
|     4 |        8897 | r3k3/8/8/8/8/8/8/4K3 w q - 0 1                                               |  PASS  |
|     5 |       52710 | r3k3/8/8/8/8/8/8/4K3 w q - 0 1                                               |  PASS  |
|     6 |     1001523 | r3k3/8/8/8/8/8/8/4K3 w q - 0 1                                               |  PASS  |
|     1 |          26 | 4k3/8/8/8/8/8/8/R3K2R w KQ - 0 1                                             |  PASS  |
|     2 |         112 | 4k3/8/8/8/8/8/8/R3K2R w KQ - 0 1                                             |  PASS  |
|     3 |        3189 | 4k3/8/8/8/8/8/8/R3K2R w KQ - 0 1                                             |  PASS  |
|     4 |       17945 | 4k3/8/8/8/8/8/8/R3K2R w KQ - 0 1                                             |  PASS  |
|     5 |      532933 | 4k3/8/8/8/8/8/8/R3K2R w KQ - 0 1                                             |  PASS  |
|     6 |     2788982 | 4k3/8/8/8/8/8/8/R3K2R w KQ - 0 1                                             |  PASS  |
|     1 |           5 | r3k2r/8/8/8/8/8/8/4K3 w kq - 0 1                                             |  PASS  |
